depth: sudoku
33: 5786241936925317843417896252694578.11..2.6.5......3267...84257..2.1....84.637..1.
34: 5786241936925317843417896252694578.11..2.6.5......3267...84257..2.1....84.637..1.
35: 5786241936925317843417896252694578311..2.6.5......3267...84257..2.1....84.637..1.
36: 5786241936925317843417896252694578311..2.6.5......3267...84257..2.1....84.637..1.
37: 5786241936925317843417896252694578311..2.6.5......3267...84257..2.1....84.637..1.
38: 57862419369253178434178962526945783113.2.6.5......3267...84257..2.1....84.637..1.
39: 5786241936925317843417896252694578311342.6.5......3267...84257..2.1....84.637..1.
40: 5786241936925317843417896252694578311342.6.5......3267...84257..2.1....84.637..1.
41: 578624193692531784341789625269457831134296.5......3267...84257..2.1....84.637..1.
42: 578624193692531784341789625269457831134296.5......3267...84257..2.1....84.637..1.
39: 5786241936925317843417896252694578311372.6.5......3267...84257..2.1....84.637..1.
40: 5786241936925317843417896252694578311372.6.5......3267...84257..2.1....84.637..1.
41: 578624193692531784341789625269457831137296.5......3267...84257..2.1....84.637..1.
42: 578624193692531784341789625269457831137296.5......3267...84257..2.1....84.637..1.
43: 57862419369253178434178962526945783113729645......3267...84257..2.1....84.637..1.
44: 57862419369253178434178962526945783113729645......3267...84257..2.1....84.637..1.
38: 57862419369253178434178962526945783118.2.6.5......3267...84257..2.1....84.637..1.
39: 5786241936925317843417896252694578311832.6.5......3267...84257..2.1....84.637..1.
40: 5786241936925317843417896252694578311832.6.5......3267...84257..2.1....84.637..1.
41: 578624193692531784341789625269457831183296.5......3267...84257..2.1....84.637..1.
42: 578624193692531784341789625269457831183296.5......3267...84257..2.1....84.637..1.
43: 57862419369253178434178962526945783118329645......3267...84257..2.1....84.637..1.
44: 57862419369253178434178962526945783118329645......3267...84257..2.1....84.637..1.
39: 5786241936925317843417896252694578311842.6.5......3267...84257..2.1....84.637..1.
40: 5786241936925317843417896252694578311842.6.5......3267...84257..2.1....84.637..1.
41: 578624193692531784341789625269457831184296.5......3267...84257..2.1....84.637..1.
42: 578624193692531784341789625269457831184296.5......3267...84257..2.1....84.637..1.
39: 5786241936925317843417896252694578311872.6.5......3267...84257..2.1....84.637..1.
40: 5786241936925317843417896252694578311872.6.5......3267...84257..2.1....84.637..1.
41: 578624193692531784341789625269457831187296.5......3267...84257..2.1....84.637..1.
42: 578624193692531784341789625269457831187296.5......3267...84257..2.1....84.637..1.
43: 57862419369253178434178962526945783118729645......3267...84257..2.1....84.637..1.
44: 57862419369253178434178962526945783118729645......3267...84257..2.1....84.637..1.
23: 57862419369253178434179.6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
24: 5786241936925317843417986.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
25: 5786241936925317843417986.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
26: 578624193692531784341798625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
27: 578624193692531784341798625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
28: 578624193692531784341798625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
29: 578624193692531784341798625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
30: 578624193692531784341798625269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
31: 57862419369253178434179862526945.8.11..2.6.5......3267...84257..2.1....84.637..1.
32: 57862419369253178434179862526945.8.11..2.6.5......3267...84257..2.1....84.637..1.
33: 5786241936925317843417986252694578.11..2.6.5......3267...84257..2.1....84.637..1.
34: 5786241936925317843417986252694578.11..2.6.5......3267...84257..2.1....84.637..1.
35: 5786241936925317843417986252694578311..2.6.5......3267...84257..2.1....84.637..1.
36: 5786241936925317843417986252694578311..2.6.5......3267...84257..2.1....84.637..1.
37: 5786241936925317843417986252694578311..2.6.5......3267...84257..2.1....84.637..1.
38: 57862419369253178434179862526945783113.2.6.5......3267...84257..2.1....84.637..1.
39: 5786241936925317843417986252694578311342.6.5......3267...84257..2.1....84.637..1.
40: 5786241936925317843417986252694578311342.6.5......3267...84257..2.1....84.637..1.
41: 578624193692531784341798625269457831134286.5......3267...84257..2.1....84.637..1.
42: 578624193692531784341798625269457831134286.5......3267...84257..2.1....84.637..1.
43: 57862419369253178434179862526945783113428695......3267...84257..2.1....84.637..1.
44: 57862419369253178434179862526945783113428695......3267...84257..2.1....84.637..1.
39: 5786241936925317843417986252694578311372.6.5......3267...84257..2.1....84.637..1.
40: 5786241936925317843417986252694578311372.6.5......3267...84257..2.1....84.637..1.
41: 578624193692531784341798625269457831137286.5......3267...84257..2.1....84.637..1.
42: 578624193692531784341798625269457831137286.5......3267...84257..2.1....84.637..1.
43: 57862419369253178434179862526945783113728645......3267...84257..2.1....84.637..1.
44: 57862419369253178434179862526945783113728645......3267...84257..2.1....84.637..1.
45: 578624193692531784341798625269457831137286459.....3267...84257..2.1....84.637..1.
46: 5786241936925317843417986252694578311372864598....3267...84257..2.1....84.637..1.
47: 57862419369253178434179862526945783113728645985...3267...84257..2.1....84.637..1.
48: 578624193692531784341798625269457831137286459854..3267...84257..2.1....84.637..1.
49: 5786241936925317843417986252694578311372864598549.3267...84257..2.1....84.637..1.
50: 578624193692531784341798625269457831137286459854913267...84257..2.1....84.637..1.
51: 578624193692531784341798625269457831137286459854913267...84257..2.1....84.637..1.
52: 578624193692531784341798625269457831137286459854913267...84257..2.1....84.637..1.
53: 578624193692531784341798625269457831137286459854913267...84257..2.1....84.637..1.
54: 578624193692531784341798625269457831137286459854913267...84257..2.1....84.637..1.
55: 5786241936925317843417986252694578311372864598549132679..84257..2.1....84.637..1.
56: 57862419369253178434179862526945783113728645985491326791.84257..2.1....84.637..1.
57: 57862419369253178434179862526945783113728645985491326791384257..2.1....84.637..1.
58: 57862419369253178434179862526945783113728645985491326791384257..2.1....84.637..1.
59: 57862419369253178434179862526945783113728645985491326791384257..2.1....84.637..1.
60: 57862419369253178434179862526945783113728645985491326791384257..2.1....84.637..1.
